Дата;Месяц;Регион;Город;Канал;Клиент;Категория;Препарат;Упаковок;Цена за упаковку, ₽;Скидка, %;Сумма, ₽;Возвраты, упак.;Менеджер;Телефон менеджера;E-mail менеджера
02.05.2025;05.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;ФармаПлюс;Респираторные;Респиролан;75;1890;4,3;135655;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
02.05.2025;05.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;Сибирский фармсклад;Кардиология;Кардистан;813;2150;7,2;1622098;128;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
03.05.2025;05.2025;Сибирь;Новосибирск;Аптечная сеть;Аптека Здравница;Кардиология;Кардистан;107;2150;5,9;216477;13;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
06.05.2025;05.2025;Дальний Восток;Владивосток;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Ветапрол;57;1450;4,1;79261;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
06.05.2025;05.2025;Поволжье;Казань;Госпитальный сегмент;Городская больница № 12;Онкология;Онкотрел;34;38900;14,0;1137436;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
07.05.2025;05.2025;Центр;Воронеж;Дистрибьютор;Фарма-Логистик;Респираторные;Пульмостат;222;1240;19,4;221876;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
08.05.2025;05.2025;Москва;Москва;Госпитальный сегмент;Городская больница № 12;Безрецептурные;Гастролюкс;238;620;14,8;125721;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
09.05.2025;05.2025;Юг;Волгоград;Дистрибьютор;Фарма-Логистик;Кардиология;Кардистан;658;2150;19,0;1145907;7;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
10.05.2025;05.2025;Санкт-Петербург;Санкт-Петербург;Онлайн-аптека;е-Аптека;Кардиология;Тензолар;100;980;5,0;93100;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
10.05.2025;05.2025;Урал;Пермь;Онлайн-аптека;АптекаМаркет;Кардиология;Кардистан;34;2150;4,6;69737;5;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
12.05.2025;05.2025;Москва;Москва;Дистрибьютор;Фарма-Логистик;Респираторные;Пульмостат;284;1240;19,5;283489;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
12.05.2025;05.2025;Сибирь;Новосибирск;Онлайн-аптека;е-Аптека;Диабет;Глюкорин;23;2680;6,7;57510;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
13.05.2025;05.2025;Дальний Восток;Владивосток;Аптечная сеть;ФармаПлюс;Диабет;Инсулакс;164;4320;4,3;678015;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
13.05.2025;05.2025;Поволжье;Самара;Дистрибьютор;Фарма-Логистик;Кардиология;Кардистан;551;2150;20,3;944166;75;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
13.05.2025;05.2025;Сибирь;Омск;Аптечная сеть;Зелёная аптека;Диабет;Глюкорин;179;2680;5,7;452376;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
14.05.2025;05.2025;Урал;Пермь;Аптечная сеть;Аптека Здравница;Диабет;Глюкорин;150;2680;6,8;374664;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
14.05.2025;05.2025;Центр;Тула;Аптечная сеть;Аптека Здравница;Кардиология;Тензолар;174;980;5,4;161312;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
17.05.2025;05.2025;Сибирь;Новосибирск;Онлайн-аптека;е-Аптека;Диабет;Инсулакс;76;4320;5,7;309606;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
17.05.2025;05.2025;Сибирь;Новосибирск;Госпитальный сегмент;Городская больница № 12;Онкология;Онкотрел;34;38900;14,8;1126855;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
18.05.2025;05.2025;Москва;Москва;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Флеастоп;31;1120;8,0;31942;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
19.05.2025;05.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;Фарма-Логистик;Онкология;Онкотрел;53;38900;19,9;1651422;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
21.05.2025;05.2025;Москва;Москва;Дистрибьютор;РосФарм Дистрибьюшн;Безрецептурные;Гастролюкс;521;620;5,9;303962;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
21.05.2025;05.2025;Поволжье;Уфа;Госпитальный сегмент;Кардиологический диспансер;Кардиология;Кардистан;361;2150;12,4;679907;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
21.05.2025;05.2025;Урал;Пермь;Аптечная сеть;Городская аптека 24;Кардиология;Кардистан;101;2150;4,3;207813;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
22.05.2025;05.2025;Москва;Москва;Онлайн-аптека;АптекаМаркет;Респираторные;Респиролан;66;1890;5,4;118004;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
23.05.2025;05.2025;Урал;Пермь;Онлайн-аптека;АптекаМаркет;Кардиология;Кардистан;65;2150;6,5;130666;9;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
25.05.2025;05.2025;Поволжье;Самара;Дистрибьютор;Сибирский фармсклад;Кардиология;Кардистан;791;2150;7,2;1578203;6;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
26.05.2025;05.2025;Урал;Екатеринбург;Аптечная сеть;ФармаПлюс;Безрецептурные;Дормивит;42;540;4,1;21750;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
26.05.2025;05.2025;Центр;Ярославль;Аптечная сеть;Аптека Здравница;Безрецептурные;Гастролюкс;172;620;4,3;102054;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
27.05.2025;05.2025;Дальний Восток;Владивосток;Дистрибьютор;МедТрейд;Ветеринария;Ветапрол;546;1450;7,9;729156;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
27.05.2025;05.2025;Юг;Краснодар;Аптечная сеть;ФармаПлюс;Респираторные;Пульмостат;80;1240;7,8;91462;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
28.05.2025;05.2025;Москва;Москва;Госпитальный сегмент;Региональный онкоцентр;Респираторные;Респиролан;291;1890;12,3;482341;2;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
28.05.2025;05.2025;Урал;Екатеринбург;Дистрибьютор;Сибирский фармсклад;Безрецептурные;Гастролюкс;292;620;8,0;166557;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
01.06.2025;06.2025;Поволжье;Нижний Новгород;Дистрибьютор;МедТрейд;Онкология;Онкотрел;32;38900;7,3;1153930;0;Никитина Елена Ивановна;+7 934 832-15-66;e.nikitina@example-pharma.ru
03.06.2025;06.2025;Москва;Москва;Аптечная сеть;Городская аптека 24;Респираторные;Пульмостат;48;1240;7,3;55175;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
03.06.2025;06.2025;Москва;Москва;Дистрибьютор;МедТрейд;Кардиология;Тензолар;255;980;6,6;233407;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
03.06.2025;06.2025;Центр;Рязань;Госпитальный сегмент;Кардиологический диспансер;Кардиология;Тензолар;158;980;14,2;132853;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
03.06.2025;06.2025;Юг;Волгоград;Дистрибьютор;Сибирский фармсклад;Кардиология;Кардистан;792;2150;8,2;1563170;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
05.06.2025;06.2025;Санкт-Петербург;Санкт-Петербург;Онлайн-аптека;АптекаМаркет;Диабет;Глюкорин;58;2680;4,9;147823;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
05.06.2025;06.2025;Центр;Воронеж;Аптечная сеть;Аптека Здравница;Респираторные;Пульмостат;74;1240;7,7;84694;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
07.06.2025;06.2025;Дальний Восток;Хабаровск;Онлайн-аптека;е-Аптека;Безрецептурные;Гастролюкс;95;620;5,8;55484;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
07.06.2025;06.2025;Сибирь;Красноярск;Онлайн-аптека;е-Аптека;Безрецептурные;Гастролюкс;61;620;5,1;35891;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
08.06.2025;06.2025;Урал;Екатеринбург;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Ветапрол;33;1450;5,8;45075;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
08.06.2025;06.2025;Урал;Челябинск;Ветеринарная клиника;ВетСити;Ветеринария;Флеастоп;56;1120;4,3;60023;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
10.06.2025;06.2025;Москва;Москва;Онлайн-аптека;АптекаМаркет;Респираторные;Респиролан;60;1890;5,5;107163;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
10.06.2025;06.2025;Москва;Москва;Дистрибьютор;Фарма-Логистик;Безрецептурные;Гастролюкс;294;620;19,3;147100;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
10.06.2025;06.2025;Сибирь;Красноярск;Онлайн-аптека;е-Аптека;Респираторные;Пульмостат;26;1240;6,5;30144;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
11.06.2025;06.2025;Сибирь;Новосибирск;Госпитальный сегмент;Областная клиническая больница;Диабет;Глюкорин;126;2680;13,6;291756;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
13.06.2025;06.2025;Сибирь;Красноярск;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Флеастоп;19;1120;6,9;19812;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
13.06.2025;06.2025;Урал;Пермь;Аптечная сеть;ФармаПлюс;Кардиология;Кардистан;43;2150;4,2;88567;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
15.06.2025;06.2025;Центр;Воронеж;Дистрибьютор;Сибирский фармсклад;Безрецептурные;Дормивит;688;540;6,0;349229;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
16.06.2025;06.2025;Москва;Москва;Дистрибьютор;Сибирский фармсклад;Диабет;Инсулакс;841;4320;5,9;3418766;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
16.06.2025;06.2025;Москва;Москва;Аптечная сеть;Аптека у дома;Безрецептурные;Гастролюкс;167;620;6,4;96913;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
16.06.2025;06.2025;Поволжье;Самара;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Флеастоп;58;1120;7,5;60088;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
17.06.2025;06.2025;Дальний Восток;Владивосток;Аптечная сеть;Аптека Здравница;Диабет;Глюкорин;40;2680;5,6;101197;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
21.06.2025;06.2025;Москва;Москва;Дистрибьютор;Фарма-Логистик;Респираторные;Пульмостат;449;1240;21,9;434830;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
24.06.2025;06.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;РосФарм Дистрибьюшн;Диабет;Инсулакс;327;4320;8,2;1296804;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
24.06.2025;06.2025;Урал;Пермь;Госпитальный сегмент;Кардиологический диспансер;Онкология;Онкотрел;10;38900;14,6;332206;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
25.06.2025;06.2025;Дальний Восток;Хабаровск;Госпитальный сегмент;Кардиологический диспансер;Кардиология;Кардистан;185;2150;11,7;351213;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
25.06.2025;06.2025;Москва;Москва;Онлайн-аптека;е-Аптека;Респираторные;Респиролан;68;1890;3,4;124150;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
25.06.2025;06.2025;Центр;Тула;Госпитальный сегмент;Городская больница № 12;Безрецептурные;Дормивит;373;540;11,2;178861;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
26.06.2025;06.2025;Дальний Восток;Хабаровск;Аптечная сеть;Аптека Здравница;Кардиология;Кардистан;129;2150;4,7;264315;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
27.06.2025;06.2025;Юг;Краснодар;Госпитальный сегмент;Кардиологический диспансер;Онкология;Онкотрел;13;38900;10,6;452096;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
01.07.2025;07.2025;Москва;Москва;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Ветапрол;39;1450;4,1;54231;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
02.07.2025;07.2025;Центр;Рязань;Аптечная сеть;Аптека Здравница;Диабет;Глюкорин;162;2680;4,0;416794;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
03.07.2025;07.2025;Сибирь;Красноярск;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Флеастоп;27;1120;5,7;28516;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
03.07.2025;07.2025;Центр;Рязань;Госпитальный сегмент;Кардиологический диспансер;Кардиология;Тензолар;145;980;13,7;122632;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
04.07.2025;07.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Областная клиническая больница;Безрецептурные;Дормивит;286;540;13,6;133436;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
04.07.2025;07.2025;Центр;Тула;Дистрибьютор;МедТрейд;Диабет;Глюкорин;732;2680;5,9;1846016;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
06.07.2025;07.2025;Сибирь;Красноярск;Онлайн-аптека;е-Аптека;Респираторные;Респиролан;26;1890;4,2;47076;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
07.07.2025;07.2025;Центр;Ярославль;Аптечная сеть;Городская аптека 24;Респираторные;Респиролан;119;1890;8,0;206917;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
08.07.2025;07.2025;Москва;Москва;Госпитальный сегмент;Региональный онкоцентр;Респираторные;Пульмостат;157;1240;14,8;165867;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
08.07.2025;07.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;Городская аптека 24;Респираторные;Респиролан;86;1890;6,3;152300;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
08.07.2025;07.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;Аптека Здравница;Безрецептурные;Гастролюкс;40;620;7,9;22841;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
10.07.2025;07.2025;Сибирь;Красноярск;Госпитальный сегмент;Областная клиническая больница;Диабет;Глюкорин;156;2680;10,5;374182;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
10.07.2025;07.2025;Юг;Краснодар;Аптечная сеть;Зелёная аптека;Кардиология;Кардистан;176;2150;5,4;357966;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
13.07.2025;07.2025;Дальний Восток;Хабаровск;Ветеринарная клиника;Ветаптека Барбос;Ветеринария;Флеастоп;54;1120;4,7;57637;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
13.07.2025;07.2025;Москва;Москва;Онлайн-аптека;е-Аптека;Безрецептурные;Дормивит;87;540;4,7;44772;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
16.07.2025;07.2025;Поволжье;Нижний Новгород;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Ветапрол;11;1450;7,6;14738;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
16.07.2025;07.2025;Урал;Челябинск;Онлайн-аптека;АптекаМаркет;Кардиология;Кардистан;38;2150;5,1;77533;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
17.07.2025;07.2025;Москва;Москва;Госпитальный сегмент;Областная клиническая больница;Кардиология;Кардистан;395;2150;13,3;736300;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
17.07.2025;07.2025;Юг;Ростов-на-Дону;Онлайн-аптека;е-Аптека;Кардиология;Кардистан;107;2150;7,0;213946;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
18.07.2025;07.2025;Поволжье;Уфа;Дистрибьютор;Сибирский фармсклад;Онкология;Онкотрел;84;38900;7,0;3038868;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
18.07.2025;07.2025;Урал;Челябинск;Госпитальный сегмент;Кардиологический диспансер;Кардиология;Тензолар;130;980;11,2;113131;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
19.07.2025;07.2025;Москва;Москва;Госпитальный сегмент;Городская больница № 12;Безрецептурные;Дормивит;226;540;11,2;108372;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
19.07.2025;07.2025;Сибирь;Новосибирск;Дистрибьютор;РосФарм Дистрибьюшн;Онкология;Онкотрел;81;38900;6,6;2942941;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
20.07.2025;07.2025;Санкт-Петербург;Санкт-Петербург;Дистрибьютор;Сибирский фармсклад;Безрецептурные;Гастролюкс;761;620;5,2;447285;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
21.07.2025;07.2025;Сибирь;Омск;Дистрибьютор;МедТрейд;Респираторные;Респиролан;239;1890;6,9;420542;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
22.07.2025;07.2025;Москва;Москва;Дистрибьютор;Сибирский фармсклад;Респираторные;Пульмостат;259;1240;5,4;303817;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
22.07.2025;07.2025;Санкт-Петербург;Санкт-Петербург;Аптечная сеть;Аптека у дома;Диабет;Глюкорин;103;2680;4,0;264998;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
23.07.2025;07.2025;Москва;Москва;Госпитальный сегмент;Региональный онкоцентр;Онкология;Онкотрел;37;38900;12,0;1266584;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
25.07.2025;07.2025;Москва;Москва;Дистрибьютор;Фарма-Логистик;Диабет;Инсулакс;243;4320;19,0;850306;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
26.07.2025;07.2025;Центр;Воронеж;Дистрибьютор;РосФарм Дистрибьюшн;Безрецептурные;Дормивит;656;540;8,3;324838;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
03.08.2025;08.2025;Москва;Москва;Аптечная сеть;Аптека у дома;Кардиология;Кардистан;123;2150;4,8;251756;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
03.08.2025;08.2025;Москва;Москва;Аптечная сеть;Аптека у дома;Безрецептурные;Гастролюкс;127;620;4,7;75039;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
03.08.2025;08.2025;Санкт-Петербург;Санкт-Петербург;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Ветапрол;38;1450;7,6;50912;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
03.08.2025;08.2025;Сибирь;Новосибирск;Аптечная сеть;Городская аптека 24;Респираторные;Пульмостат;38;1240;7,4;43633;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
03.08.2025;08.2025;Юг;Краснодар;Дистрибьютор;МедТрейд;Безрецептурные;Гастролюкс;298;620;6,4;172935;0;Новикова Елена Андреевна;+7 950 491-11-10;e.novikova@example-pharma.ru
04.08.2025;08.2025;Урал;Челябинск;Госпитальный сегмент;Городская больница № 12;Респираторные;Пульмостат;111;1240;14,8;117269;1;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
04.08.2025;08.2025;Урал;Екатеринбург;Дистрибьютор;РосФарм Дистрибьюшн;Безрецептурные;Гастролюкс;515;620;5,5;301738;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
04.08.2025;08.2025;Центр;Воронеж;Госпитальный сегмент;Кардиологический диспансер;Безрецептурные;Гастролюкс;367;620;12,3;199553;0;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
06.08.2025;08.2025;Москва;Москва;Ветеринарная клиника;ВетСити;Ветеринария;Флеастоп;46;1120;4,7;49099;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
09.08.2025;08.2025;Урал;Екатеринбург;Аптечная сеть;ФармаПлюс;Кардиология;Тензолар;90;980;5,9;82996;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
14.08.2025;08.2025;Москва;Москва;Аптечная сеть;Аптека у дома;Диабет;Инсулакс;90;4320;6,8;362362;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
14.08.2025;08.2025;Урал;Челябинск;Аптечная сеть;Городская аптека 24;Кардиология;Кардистан;136;2150;6,2;274271;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
15.08.2025;08.2025;Москва;Москва;Онлайн-аптека;е-Аптека;Диабет;Глюкорин;115;2680;3,4;297721;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
15.08.2025;08.2025;Центр;Рязань;Госпитальный сегмент;Областная клиническая больница;Онкология;Онкотрел;23;38900;13,4;774810;0;Волкова Дарья Викторовна;+7 981 683-85-73;d.volkova@example-pharma.ru
16.08.2025;08.2025;Дальний Восток;Хабаровск;Онлайн-аптека;е-Аптека;Респираторные;Респиролан;21;1890;6,3;37190;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
16.08.2025;08.2025;Москва;Москва;Онлайн-аптека;е-Аптека;Кардиология;Кардистан;90;2150;4,7;184406;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
16.08.2025;08.2025;Сибирь;Новосибирск;Госпитальный сегмент;Городская больница № 12;Онкология;Онкотрел;32;38900;10,5;1114096;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
17.08.2025;08.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Областная клиническая больница;Диабет;Глюкорин;299;2680;13,9;689937;0;Волкова Елена Ивановна;+7 992 872-64-46;e.volkova@example-pharma.ru
20.08.2025;08.2025;Урал;Екатеринбург;Онлайн-аптека;е-Аптека;Респираторные;Респиролан;42;1890;6,6;74141;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
21.08.2025;08.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Областная клиническая больница;Онкология;Онкотрел;18;38900;13,8;603572;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
22.08.2025;08.2025;Дальний Восток;Хабаровск;Аптечная сеть;Аптека Здравница;Кардиология;Кардистан;74;2150;7,1;147804;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
22.08.2025;08.2025;Сибирь;Омск;Дистрибьютор;МедТрейд;Кардиология;Кардистан;292;2150;8,1;576948;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
22.08.2025;08.2025;Урал;Челябинск;Аптечная сеть;Зелёная аптека;Безрецептурные;Дормивит;47;540;6,6;23705;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
23.08.2025;08.2025;Поволжье;Самара;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Флеастоп;16;1120;6,3;16791;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
23.08.2025;08.2025;Сибирь;Красноярск;Аптечная сеть;Зелёная аптека;Респираторные;Респиролан;106;1890;6,7;186917;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
25.08.2025;08.2025;Санкт-Петербург;Санкт-Петербург;Госпитальный сегмент;Региональный онкоцентр;Безрецептурные;Дормивит;348;540;10,1;168940;0;Борисов Роман Андреевич;+7 914 981-86-65;r.borisov@example-pharma.ru
26.08.2025;08.2025;Поволжье;Нижний Новгород;Аптечная сеть;ФармаПлюс;Диабет;Глюкорин;97;2680;6,1;244102;0;Лебедев Павел Александрович;+7 988 583-46-95;p.lebedev@example-pharma.ru
26.08.2025;08.2025;Урал;Челябинск;Аптечная сеть;Городская аптека 24;Диабет;Инсулакс;59;4320;7,5;235764;0;Егорова Наталья Викторовна;+7 927 285-25-54;n.egorova@example-pharma.ru
27.08.2025;08.2025;Сибирь;Новосибирск;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Флеастоп;31;1120;4,5;33158;0;Никитин Артём Николаевич;+7 959 372-29-12;a.nikitin@example-pharma.ru
28.08.2025;08.2025;Дальний Восток;Владивосток;Аптечная сеть;Аптека Здравница;Респираторные;Респиролан;106;1890;5,7;188921;0;Егоров Александр Андреевич;+7 954 214-78-51;a.egorov@example-pharma.ru
01.09.2025;09.2025;Москва;Москва;Ветеринарная клиника;Зооклиника Друг;Ветеринария;Ветапрол;20;1450;6,9;26999;0;Орлова Ирина Сергеевна;+7 955 393-99-18;i.orlova@example-pharma.ru
01.09.2025;09.2025;Москва;Москва;Ветеринарная клиника;ВетСити;Ветеринария;Флеастоп;10;1120;4,1;10741;0;Кузнецов Андрей Сергеевич;+7 915 988-30-58;a.kuznetsov@example-pharma.ru
01.09.2025;09.2025;Центр;Рязань;Госпитальный сегмент;Областная клиническая больница;Безрецептурные;Дормивит;149;540;12,7;70242;1;Морозова Марина Александровна;+7 996 241-77-51;m.morozova@example-pharma.ru
