Дата;Издание;Тип издания;Тема;Тональность;Охват;Запрос СМИ;Журналист;Телефон журналиста;Дата запроса;Дата ответа;Время ответа, ч;Ответственный;Комментарий
07.03.2025;Социальная лента;соцсети;клинические исследования;позитивная;138777;да;Смирнов Денис Дмитриевич;+7 (902) 361-12-20;07.03.2025;07.03.2025;7,1;Морозов Виктор Сергеевич;Материал вышел без правок
02.06.2025;Медпортал.Про;отраслевой портал;социальные проекты;нейтральная;624416;нет;;;;;;Зайцева Дарья Павловна;
14.05.2025;Медпортал.Про;отраслевой портал;корпоративные новости;нейтральная;431898;да;Смирнова Анастасия Викторовна;+7 (940) 263-70-02;14.05.2025;14.05.2025;8,5;Морозов Виктор Сергеевич;По итогам пресс-релиза
23.10.2025;Кадровый обозреватель;деловые СМИ;корпоративные новости;нейтральная;503442;да;Соколова Анастасия Александровна;+7 (977) 449-79-72;23.10.2025;23.10.2025;6,9;Зайцева Дарья Павловна;
12.04.2025;Медпортал.Про;отраслевой портал;регуляторика;нейтральная;499266;нет;;;;;;Морозов Виктор Сергеевич;
31.12.2025;Деловой курьер;деловые СМИ;наука;позитивная;294221;нет;;;;;;Зайцева Дарья Павловна;
30.03.2025;Регион-Новости;региональные СМИ;клинические исследования;нейтральная;497595;нет;;;;;;Зайцева Дарья Павловна;
26.03.2025;ФармВестник-Онлайн;отраслевой портал;наука;позитивная;623279;нет;;;;;;Воробьёв Олег Викторович;Материал вышел без правок
08.07.2025;Социальная лента;соцсети;социальные проекты;позитивная;102420;нет;;;;;;Зайцева Дарья Павловна;Материал вышел без правок
16.10.2025;Деловой курьер;деловые СМИ;клинические исследования;позитивная;866206;нет;;;;;;Лебедева Валентина Владимировна;Позитивный отклик, доп. комментариев не требуется
13.04.2025;Столичный бизнес;деловые СМИ;клинические исследования;позитивная;6904;нет;;;;;;Зайцева Дарья Павловна;Материал вышел без правок
05.11.2025;Регион-Новости;региональные СМИ;доступность и цены;нейтральная;457140;да;Смирнова Светлана Ивановна;+7 (977) 612-40-91;05.11.2025;05.11.2025;12,4;Лебедева Валентина Владимировна;По итогам пресс-релиза
24.10.2025;Деловой курьер;деловые СМИ;клинические исследования;нейтральная;58821;да;Кудрявцева Светлана Андреевна;+7 (984) 546-46-50;24.10.2025;25.10.2025;35,3;Воробьёв Олег Викторович;
05.09.2025;Медпортал.Про;отраслевой портал;доступность и цены;нейтральная;2270;да;Орлова Людмила Олеговна;+7 (952) 126-89-99;05.09.2025;05.09.2025;5,3;Морозов Виктор Сергеевич;
21.03.2025;Телеканал 24/7;ТВ;доступность и цены;нейтральная;385616;нет;;;;;;Зайцева Дарья Павловна;
16.10.2025;Здоровье сегодня;отраслевой портал;наука;нейтральная;100975;нет;;;;;;Лебедева Валентина Владимировна;По итогам пресс-релиза
30.12.2025;Столичный бизнес;деловые СМИ;регуляторика;позитивная;153341;нет;;;;;;Лебедева Валентина Владимировна;
19.08.2025;Деловой курьер;деловые СМИ;наука;позитивная;138379;нет;;;;;;Воробьёв Олег Викторович;
11.05.2025;Регион-Новости;региональные СМИ;корпоративные новости;позитивная;23890;нет;;;;;;Лебедева Валентина Владимировна;Хороший охват в целевой аудитории
